ClePrimaire;dateProd;codeINSEE;QuantiteProd;typeProd
;2017-06;76;1747;nucléaire
;2017-07;76;893;nucléaire
;2017-08;76;932;nucléaire
;2017-09;76;1024;nucléaire
;2017-10;76;1860;nucléaire
;2017-11;76;1828;nucléaire
;2017-12;76;1789;nucléaire
;2018-01;76;1730;nucléaire
;2018-02;76;1709;nucléaire
;2018-03;76;1828;nucléaire
;2018-04;76;1590;nucléaire
;2018-05;76;1186;nucléaire
;2018-06;76;672;nucléaire
;2018-07;76;823;nucléaire
;2018-08;76;618;nucléaire
;2018-09;76;1576;nucléaire
;2018-10;76;1844;nucléaire
;2018-11;76;1810;nucléaire
;2018-12;76;1763;nucléaire
;2019-01;76;1899;nucléaire
;2019-02;76;1258;nucléaire
;2019-03;76;1125;nucléaire
;2019-04;76;1729;nucléaire
;2019-05;76;1628;nucléaire
;2019-06;76;1259;nucléaire
;2019-07;76;1415;nucléaire
;2019-08;76;1550;nucléaire
;2019-09;76;1643;nucléaire
;2019-10;76;956;nucléaire
;2019-11;76;907;nucléaire
;2019-12;76;1578;nucléaire
;2014-01;84;9578;nucléaire
;2014-02;84;8105;nucléaire
;2014-03;84;7702;nucléaire
;2014-04;84;6649;nucléaire
;2014-05;84;6671;nucléaire
;2014-06;84;6303;nucléaire
;2014-07;84;6380;nucléaire
;2014-08;84;6357;nucléaire
;2014-09;84;7441;nucléaire
;2014-10;84;7349;nucléaire
;2014-11;84;7339;nucléaire
;2014-12;84;8000;nucléaire
;2015-01;84;9616;nucléaire
;2015-02;84;8451;nucléaire
;2015-03;84;8230;nucléaire
;2015-04;84;7275;nucléaire
;2015-05;84;6960;nucléaire
;2015-06;84;7200;nucléaire
;2015-07;84;7400;nucléaire
;2015-08;84;7848;nucléaire
;2015-09;84;6168;nucléaire
;2015-10;84;6646;nucléaire
;2015-11;84;7192;nucléaire
;2015-12;84;7878;nucléaire
;2016-01;84;8770;nucléaire
;2016-02;84;8217;nucléaire
;2016-03;84;7630;nucléaire
;2016-04;84;6610;nucléaire
;2016-05;84;6656;nucléaire
;2016-06;84;5052;nucléaire
;2016-07;84;5216;nucléaire
;2016-08;84;4660;nucléaire
;2016-09;84;4860;nucléaire
;2016-10;84;5771;nucléaire
;2016-11;84;5068;nucléaire
;2016-12;84;6467;nucléaire
;2017-01;84;8191;nucléaire
;2017-02;84;7266;nucléaire
;2017-03;84;7941;nucléaire
;2017-04;84;7120;nucléaire
;2017-05;84;5776;nucléaire
;2017-06;84;5376;nucléaire
;2017-07;84;6592;nucléaire
;2017-08;84;7176;nucléaire
;2017-09;84;8249;nucléaire
;2017-10;84;5582;nucléaire
;2017-11;84;4277;nucléaire
;2017-12;84;6437;nucléaire
;2018-01;84;8512;nucléaire
;2018-02;84;7115;nucléaire
;2018-03;84;7256;nucléaire
;2018-04;84;6338;nucléaire
;2018-05;84;6387;nucléaire
;2018-06;84;6146;nucléaire
;2018-07;84;5946;nucléaire
;2018-08;84;5791;nucléaire
;2018-09;84;6285;nucléaire
;2018-10;84;6149;nucléaire
;2018-11;84;5924;nucléaire
;2018-12;84;8345;nucléaire
;2019-01;84;9036;nucléaire
;2019-02;84;8160;nucléaire
;2019-03;84;7488;nucléaire
;2019-04;84;5920;nucléaire
;2019-05;84;6544;nucléaire
;2019-06;84;6593;nucléaire
;2019-07;84;7556;nucléaire
;2019-08;84;6944;nucléaire
;2019-09;84;6886;nucléaire
;2019-10;84;7262;nucléaire
;2019-11;84;5971;nucléaire
;2019-12;84;7464;nucléaire
;2014-01;93;;nucléaire
;2014-02;93;;nucléaire
;2014-03;93;;nucléaire
;2014-04;93;;nucléaire
;2014-05;93;;nucléaire
;2014-06;93;;nucléaire
;2014-07;93;;nucléaire
;2014-08;93;;nucléaire
;2014-09;93;;nucléaire
;2014-10;93;;nucléaire
;2014-11;93;;nucléaire
;2014-12;93;;nucléaire
;2015-01;93;;nucléaire
;2015-02;93;;nucléaire
;2015-03;93;;nucléaire
;2015-04;93;;nucléaire
;2015-05;93;;nucléaire
;2015-06;93;;nucléaire
;2015-07;93;;nucléaire
;2015-08;93;;nucléaire
;2015-09;93;;nucléaire
;2015-10;93;;nucléaire
;2015-11;93;;nucléaire
;2015-12;93;;nucléaire
;2016-01;93;;nucléaire
;2016-02;93;;nucléaire
;2016-03;93;;nucléaire
;2016-04;93;;nucléaire
;2016-05;93;;nucléaire
;2016-06;93;;nucléaire
;2016-07;93;;nucléaire
;2016-08;93;;nucléaire
;2016-09;93;;nucléaire
;2016-10;93;;nucléaire
;2016-11;93;;nucléaire
;2016-12;93;;nucléaire
;2017-01;93;;nucléaire
;2017-02;93;;nucléaire
;2017-03;93;;nucléaire
;2017-04;93;;nucléaire
;2017-05;93;;nucléaire
;2017-06;93;;nucléaire
;2017-07;93;;nucléaire
;2017-08;93;;nucléaire
;2017-09;93;;nucléaire
;2017-10;93;;nucléaire
;2017-11;93;;nucléaire
;2017-12;93;;nucléaire
;2018-01;93;;nucléaire
;2018-02;93;;nucléaire
;2018-03;93;;nucléaire
;2018-04;93;;nucléaire
;2018-05;93;;nucléaire
;2018-06;93;;nucléaire
;2018-07;93;;nucléaire
;2018-08;93;;nucléaire
;2018-09;93;;nucléaire
;2018-10;93;;nucléaire
;2018-11;93;;nucléaire
;2018-12;93;;nucléaire
